"FluxH2O","FluxCO2","datetime","date","VPDair","period","WUE","chamber","PAR","RefCO2","TAref","Tair_al","RH_al","campaign","day","month","flux_campaign","datetimeFM","id"
-0.0102300513535738,-0.00825243443250656,2014-01-18 21:26:00,2014-01-18,0.809104903518527,"Night",0.80668553336476,9,0,407.5,23.1599998474121,16.9746360778809,58.1775131225586,3,2,"January","3",2014-01-18 21:30:00,"3-2"
-0.00984668545424938,0.0759624466300011,2014-01-19 07:16:00,2014-01-19,1.23701805300192,"Day",-7.71451946778894,1,663.599975585938,409.799987792969,21.9799995422363,22.1307373046875,53.5840873718262,3,2,"January","3",2014-01-19 07:30:00,"3-2"
-0.00961245037615299,0.0146653316915035,2014-03-23 14:49:00,2014-03-23,0.491585606871911,"Day",-1.52566006768534,10,251,391,20.8999996185303,23.0046157836914,82.5072326660156,5,2,"March","5",2014-03-23 15:00:00,"5-2"
-0.00928288977593184,0.0591219179332256,2014-01-19 06:36:00,2014-01-19,0.178647941272884,"Day",-6.36891306051201,5,310,420.399993896484,20.6599998474121,17.0449066162109,90.8067474365234,3,2,"January","3",2014-01-19 06:45:00,"3-2"
-0.00917258486151695,0.0542410090565681,2014-01-19 07:18:00,2014-01-19,1.06267716089617,"Day",-5.91338318210967,3,802.200012207031,408.600006103516,22.8999996185303,22.2749366760254,60.4741630554199,3,2,"January","3",2014-01-19 07:30:00,"3-2"
-0.0089200334623456,0.15130141377449,2014-01-19 07:23:00,2014-01-19,1.17038108861972,"Day",-16.9619782720753,7,802.200012207031,408.600006103516,22.8999996185303,22.5521564483643,57.1952362060547,3,2,"January","3",2014-01-19 07:30:00,"3-2"
-0.00863763689994812,0.0347425863146782,2014-03-23 14:55:00,2014-03-23,0.420102370581812,"Day",-4.02223278393271,3,488,391,20.2000007629395,20.081241607666,82.1238098144531,5,2,"March","5",2014-03-23 15:00:00,"5-2"
-0.00817781966179609,0.0114352693781257,2014-03-23 14:48:00,2014-03-23,0.366504231582959,"Day",-1.39832740889937,9,251,391,20.8999996185303,20.2212181091309,84.5389099121094,5,2,"March","5",2014-03-23 15:00:00,"5-2"
-0.00703794602304697,0.125225514173508,2014-01-19 07:13:00,2014-01-19,1.01609753282012,"Day",-17.7929063058221,11,663.599975585938,409.799987792969,21.9799995422363,21.9080696105957,61.3526611328125,3,2,"January","3",2014-01-19 07:15:00,"3-2"
-0.00695847813040018,0.012303626164794,2014-03-23 14:46:00,2014-03-23,0.564283752860208,"Day",-1.76814900244378,8,251,391,20.8999996185303,23.9724617004395,81.0578765869141,5,2,"March","5",2014-03-23 15:00:00,"5-2"
-0.00681326957419515,0.172808393836021,2014-01-19 07:21:00,2014-01-19,0.999892588573549,"Day",-25.3635045486125,5,802.200012207031,408.600006103516,22.8999996185303,22.9369487762451,64.2734909057617,3,2,"January","3",2014-01-19 07:30:00,"3-2"
-0.00648405542597175,0.0580813996493816,2014-01-19 06:56:00,2014-01-19,0.710628518177682,"Day",-8.95757297458282,9,302.600006103516,411,21.6599998474121,20.1436214447021,69.8777847290039,3,2,"January","3",2014-01-19 07:00:00,"3-2"
-0.00625570258125663,0.0190310198813677,2014-03-23 14:50:00,2014-03-23,0.435001773700277,"Day",-3.04218744963812,11,519.200012207031,392.200012207031,20.1599998474121,20.2239379882812,81.6524047851562,5,2,"March","5",2014-03-23 15:00:00,"5-2"
